# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
40

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,TCZFITCZEU,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 8.333333332999993459e+00, 0.000000000000000000e+00, 8.333365941695650037e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,30,17
# x,y,z,u,w
1.873333333258399591e+01, 2.416666666569999844e+00, 7.772647009966714648e+00, 2.000000000000000000e+00, 4.000000000000000000e+00
2.095062421289381405e+01, 2.320263681571143266e+00, 7.873086734272365383e+00, 2.500000000000000000e+00, 0.000000000000000000e+00
2.095264959654370784e+01, 2.131111118470391474e+00, 6.854236327805609541e+00, 2.500000000000000000e+00, 2.500000000000000000e-01
2.095341328933657365e+01, 1.630568423104311160e+00, 6.027249729986142945e+00, 2.500000000000000000e+00, 5.000000000000000000e-01
2.095339739697524095e+01, 8.959950017536854050e-01, 5.473235437342838239e+00, 2.500000000000000000e+00, 7.500000000000000000e-01
2.095324128236467942e+01, -1.301042606982605475e-17, 5.271140341835591769e+00, 2.500000000000000000e+00, 1.000000000000000000e+00
2.095339739697524095e+01, -8.959950017536855160e-01, 5.473235437342838239e+00, 2.500000000000000000e+00, 1.250000000000000000e+00
2.095341328933657365e+01, -1.630568423104310938e+00, 6.027249729986142945e+00, 2.500000000000000000e+00, 1.500000000000000000e+00
2.095264959654370074e+01, -2.131111118470391474e+00, 6.854236327805610429e+00, 2.500000000000000000e+00, 1.750000000000000000e+00
2.095062421289381405e+01, -2.320263681571143266e+00, 7.873086734272365383e+00, 2.500000000000000000e+00, 2.000000000000000000e+00
2.094721184123387303e+01, -2.144448935911235310e+00, 8.898494121709799032e+00, 2.500000000000000000e+00, 2.250000000000000000e+00
2.094355716140776025e+01, -1.649968884836447325e+00, 9.739410851493898846e+00, 2.500000000000000000e+00, 2.500000000000000000e+00
2.094094937771733811e+01, -9.093328191945292405e-01, 1.030652989915040685e+01, 2.500000000000000000e+00, 2.750000000000000000e+00
2.093998581529931258e+01, -5.019907934309918638e-17, 1.051435659867690120e+01, 2.500000000000000000e+00, 3.000000000000000000e+00
2.094094937771733811e+01, 9.093328191945292405e-01, 1.030652989915040685e+01, 2.500000000000000000e+00, 3.250000000000000000e+00
2.094355716140776025e+01, 1.649968884836447547e+00, 9.739410851493898846e+00, 2.500000000000000000e+00, 3.500000000000000000e+00
2.094721184123387303e+01, 2.144448935911236198e+00, 8.898494121709799032e+00, 2.500000000000000000e+00, 3.750000000000000000e+00
2.095062421289381405e+01, 2.320263681571143266e+00, 7.873086734272365383e+00, 2.500000000000000000e+00, 4.000000000000000000e+00
2.276616775823854866e+01, 2.083333333249999697e+00, 8.020949297269629241e+00, 3.000000000000000000e+00, 0.000000000000000000e+00
2.276616775823855576e+01, 1.919921874923202987e+00, 7.085699297307039402e+00, 3.000000000000000000e+00, 2.500000000000000000e-01
2.276616775823855221e+01, 1.473958333274374866e+00, 6.322949297337549623e+00, 3.000000000000000000e+00, 5.000000000000000000e-01
2.276616775823855221e+01, 8.118489583008591248e-01, 5.809199297358099479e+00, 3.000000000000000000e+00, 7.500000000000000000e-01
2.276616775823854866e+01, 0.000000000000000000e+00, 5.620949297365630315e+00, 3.000000000000000000e+00, 1.000000000000000000e+00
2.276616775823855221e+01, -8.118489583008591248e-01, 5.809199297358099479e+00, 3.000000000000000000e+00, 1.250000000000000000e+00
2.276616775823855221e+01, -1.473958333274374866e+00, 6.322949297337549623e+00, 3.000000000000000000e+00, 1.500000000000000000e+00
2.276616775823855221e+01, -1.919921874923202987e+00, 7.085699297307039402e+00, 3.000000000000000000e+00, 1.750000000000000000e+00
2.276616775823854866e+01, -2.083333333249999697e+00, 8.020949297269629241e+00, 3.000000000000000000e+00, 2.000000000000000000e+00
2.276616775823854866e+01, -1.919921874923202765e+00, 8.956199297232219081e+00, 3.000000000000000000e+00, 2.250000000000000000e+00
2.276616775823855221e+01, -1.473958333274374866e+00, 9.718949297201708859e+00, 3.000000000000000000e+00, 2.500000000000000000e+00
